รหัสสินค้า,ชื่อสินค้า,รหัสหน่วยนับ,ชื่อหน่วยนับ,ตัวตั้ง,ตัวหาร
10313392,"ข้อต่อตรงลด PVC 13.5 3/4""x1/2"" A+/THOR",EA,ชิ้น,1,1
10313394,"ข้อต่อตรงลด PVC 13.5 1""x1/2"" A+/THOR",EA,ชิ้น,1,1
10314134,"แผ่นเจียรเหล็ก 4""*3มม. NASH",PL,แผ่น,1,1
10314139,"แผ่นเจียรเหล็ก 4""*6มม. NASH",PL,แผ่น,1,1
10314230,เชือกไนล่อน 4 มิล ขี้ม้า ม้วน 50ม.NASH,ROL,ม้วน,1,1
10314232,เชือกไนล่อน 6 มิล ขี้ม้า ม้วน 50ม.NASH,ROL,ม้วน,1,1
10314283,เชือกไนล่อน 8 มิล ขี้ม้า ม้วน 50ม.NASH,ROL,ม้วน,1,1
10314285,เชือกไนล่อน 10 มิล ขี้ม้า ม้วน 50ม.NASH,ROL,ม้วน,1,1
10314292,เชือกไนล่อน 4 มิล ขี้ม้า ม้วน 100ม.NASH,ROL,ม้วน,1,1
10314333,เชือกไนล่อน 6 มิล ขี้ม้า ม้วน 100ม.NASH,ROL,ม้วน,1,1
10314334,เชือกไนล่อน 8 มิล ขี้ม้า ม้วน 100ม.NASH,ROL,ม้วน,1,1
10314335,เชือกไนล่อน 10 มิล ขี้ม้า ม้วน 100ม.NASH,ROL,ม้วน,1,1
10315626,"ข้อต่อตรงลด PVC 13.5 1""x3/4"" A+/THOR",EA,ชิ้น,1,1
10315635,"สามทางลด PVC 13.5 1""x1/2"" A+/THOR",EA,ชิ้น,1,1
10315637,"สามทางลด PVC 13.5 2""x3/4"" A+/THOR",EA,ชิ้น,1,1
10315639,"หัวอุดไม่มีเกลียว PVC 13.5 1/2"" A+/THOR",EA,ชิ้น,1,1
10315641,"หัวอุดไม่มีเกลียว PVC 13.5 1"" A+/THOR",EA,ชิ้น,1,1
10315683,"หัวอุดไม่มีเกลียว PVC 13.5 1 1/2""A+/THOR",EA,ชิ้น,1,1
10315684,"หัวอุดไม่มีเกลียว PVC 13.5 2"" A+/THOR",EA,ชิ้น,1,1
10316108,ชุดสายฉีดชำระ โครเมี่ยม MR-63,ZWF,ชุด,1,1
10316109,ชุดฉีดชำระ PVC MR-64 ขาว,ZWF,ชุด,1,1
10316308,เชือกไนล่อน 4 มิล แดง ม้วน 50ม.NASH,ROL,ม้วน,1,1
10316310,เชือกไนล่อน 6 มิล แดง ม้วน 50ม.NASH,ROL,ม้วน,1,1
10316312,เชือกไนล่อน 8 มิล แดง ม้วน 50ม.NASH,ROL,ม้วน,1,1
10316324,เครื่องฉีดน้ำ 165บาร์ NASH Pro.,MC,เครื่อง,1,1
10316338,เชือกไนล่อน 4 มิล แดง ม้วน 100ม.NASH,ROL,ม้วน,1,1
10316339,เชือกไนล่อน 6 มิล แดง ม้วน 100ม.NASH,ROL,ม้วน,1,1
10316340,เชือกไนล่อน 8 มิล แดง ม้วน 100ม.NASH,ROL,ม้วน,1,1
10316346,เชือกใยยักษ์ 4 มิล ม้วน 50 ม. NASH,ROL,ม้วน,1,1
10316347,เชือกใยยักษ์ 6 มิล ม้วน 50 ม. NASH,ROL,ม้วน,1,1
